kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
poly;1.20;0.00;8;2;0.9826;0.9875;0.9850;0.9900
poly;1.30;0.00;8;0;0.9874;0.9821;0.9848;0.9899
poly;1.30;0.00;8;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;8;2;0.9822;0.9875;0.9848;0.9899
poly;1.20;0.00;9;0;0.9814;0.9879;0.9846;0.9897
poly;1.20;0.00;9;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;9;2;0.9878;0.9812;0.9845;0.9897
poly;1.30;0.00;9;0;0.9810;0.9879;0.9844;0.9896
poly;1.30;0.00;9;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;9;2;0.9878;0.9808;0.9843;0.9896
poly;1.20;0.00;10;0;0.9798;0.9892;0.9844;0.9896
poly;1.20;0.00;10;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;10;2;0.9891;0.9796;0.9843;0.9896
poly;1.30;0.00;10;0;0.9798;0.9892;0.9844;0.9896
poly;1.30;0.00;10;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;10;2;0.9891;0.9796;0.9843;0.9896
linear;1.30;0.00;1;0;0.9796;0.9783;0.9789;0.9860
linear;1.30;0.00;1;1;1.0000;1.0000;1.0000;1.0000
linear;1.30;0.00;1;2;0.9784;0.9796;0.9790;0.9860
linear;1.20;0.00;1;0;0.9796;0.9783;0.9789;0.9860
linear;1.20;0.00;1;1;1.0000;1.0000;1.0000;1.0000
linear;1.20;0.00;1;2;0.9784;0.9796;0.9790;0.9860
linear;1.20;0.00;2;0;0.9749;0.9854;0.9801;0.9867
linear;1.20;0.00;2;1;1.0000;1.0000;1.0000;1.0000
linear;1.20;0.00;2;2;0.9853;0.9746;0.9799;0.9867
linear;1.30;0.00;2;0;0.9749;0.9854;0.9801;0.9867
linear;1.30;0.00;2;1;1.0000;1.0000;1.0000;1.0000
linear;1.30;0.00;2;2;0.9853;0.9746;0.9799;0.9867
linear;1.20;0.00;3;0;0.9809;0.9825;0.9817;0.9878
linear;1.20;0.00;3;1;1.0000;1.0000;1.0000;1.0000
linear;1.20;0.00;3;2;0.9825;0.9808;0.9817;0.9878
linear;1.30;0.00;3;0;0.9809;0.9825;0.9817;0.9878
linear;1.30;0.00;3;1;1.0000;1.0000;1.0000;1.0000
linear;1.30;0.00;3;2;0.9825;0.9808;0.9817;0.9878
rbf;1.30;0.00;1;0;0.9888;0.9962;0.9925;0.9925
rbf;1.30;0.00;1;2;0.9962;0.9888;0.9925;0.9925
rbf;1.20;0.00;1;0;0.9884;0.9962;0.9923;0.9923
rbf;1.20;0.00;1;2;0.9962;0.9883;0.9923;0.9923
