kernel;c_value;gamma;degree;coef0;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
poly;0.1;10;4;10;0.9893066666666666;0.007986101021387705;0.98906;0.00877201719755985;0.9891733333333333;0.008240359446621472;0.9922533333333334;0.005688442752843776;15
poly;0.1;10;4;100;0.9891666666666666;0.008169076418041973;0.9889533333333334;0.00884225784568195;0.98906;0.008354365838974781;0.9921733333333334;0.005766958429173;15
poly;0.1;10;5;1;0.9892666666666667;0.007988533449054749;0.98882;0.009278793024957509;0.9890333333333333;0.00836819375174039;0.9921466666666667;0.005784692443567481;15
poly;0.1;10;5;10;0.9893133333333334;0.00798962422383527;0.9889600000000001;0.009080890453505724;0.9891333333333333;0.008300401596710059;0.99222;0.005732015352386979;15
poly;0.1;10;5;100;0.9891066666666667;0.008267014201604101;0.9889399999999999;0.008864922850361258;0.9890133333333334;0.008381260275729652;0.9921533333333333;0.005776413453082495;15
poly;0.1;10;6;1;0.9895666666666667;0.007806834612483267;0.9890666666666666;0.009285985344029128;0.9893133333333334;0.008172153647484552;0.99236;0.0056367163693564985;15
poly;0.1;10;6;10;0.9893533333333334;0.007921658075596714;0.9890066666666667;0.00898605798419073;0.9891666666666666;0.008246355616415105;0.9922533333333334;0.00568241229794262;15
poly;0.1;10;6;100;0.98926;0.008040149252346007;0.9889533333333334;0.008970098475862267;0.9891066666666667;0.008315945669672954;0.9922133333333334;0.005736831712298866;15
poly;0.1;scale;1;0;0.9861766666666667;0.009883063999741601;0.9847266666666666;0.01331542878311325;0.9854133333333334;0.010233607020189796;0.9896166666666667;0.007165534526989001;30
poly;0.1;scale;1;1;0.98588;0.010346165611333629;0.98444;0.013708589590888935;0.9851266666666666;0.010674366268687573;0.9894066666666668;0.007478203247406699;15
poly;0.1;scale;1;10;0.98588;0.010346165611333629;0.98444;0.013708589590888935;0.9851266666666666;0.010674366268687573;0.9894066666666668;0.007478203247406699;15
poly;0.1;scale;1;100;0.9858933333333333;0.010343145878632207;0.9844466666666667;0.013710312420461702;0.98514;0.01066602081378054;0.9894133333333334;0.007474133171590333;15
poly;0.1;scale;2;0;0.9885333333333333;0.008732751707277175;0.9869666666666668;0.013165141563270496;0.9877066666666666;0.008865782268818432;0.99124;0.006196980831709224;15
poly;0.1;scale;2;1;0.9880466666666667;0.008251828080290248;0.9876066666666666;0.010170999857203718;0.9878266666666666;0.00891190749716891;0.9913000000000001;0.006202188553820572;15
poly;0.1;scale;2;10;0.9885933333333334;0.00823151319769393;0.98822;0.009559228898967596;0.9884133333333334;0.008664860617679297;0.9917133333333333;0.005991764188887802;15
poly;0.1;scale;2;100;0.9885866666666667;0.00821182654700493;0.98822;0.009556389037108698;0.9883933333333333;0.008675537584550743;0.9916933333333333;0.006002674007315024;15
